EmployeeID,Name,Department,Gender,JobRole,Education,Age,Salary,Bonus,Attrition,TotalCompensation
1024,Emp_24,Finance,Male,Manager,Masters,29,63397.0,14157,No,77554.0
1025,Emp_25,Operations,Female,Engineer,Masters,50,57909.0,16982,No,74891.0
1026,Emp_26,Marketing,Female,Executive,High School,49,41352.0,13655,No,55007.0
1027,Emp_27,Sales,Male,Analyst,High School,27,113848.0,23582,No,137430.0
1028,Emp_28,Hr,Male,Manager,Bachelors,37,35438.0,7287,No,42725.0
1029,Emp_29,Hr,Male,Executive,Masters,41,108921.0,16957,No,125878.0
1030,Emp_30,It,Male,Consultant,Phd,37,64999.0,9008,No,74007.0
1031,Emp_31,It,Female,Manager,Phd,28,38482.0,16696,No,55178.0
1032,Emp_32,Finance,Male,Executive,Bachelors,35,52471.0,14104,No,66575.0
1033,Emp_33,Sales,Male,Executive,Bachelors,47,67279.0,5496,No,72775.0
1034,Emp_34,Sales,Male,Analyst,Masters,47,74213.0,6463,No,80676.0
1035,Emp_35,Operations,Male,Analyst,Masters,35,33026.0,28212,No,61238.0
1036,Emp_36,Operations,Female,Consultant,Masters,28,105184.0,25637,No,130821.0
1037,Emp_37,Operations,Male,Executive,High School,54,25435.0,17459,No,42894.0
1038,Emp_38,It,Female,Executive,High School,47,28493.0,21877,No,50370.0
1039,Emp_39,Sales,Male,Analyst,Bachelors,41,92227.0,26449,No,118676.0
1040,Emp_40,Sales,Male,Manager,High School,24,79321.0,26814,No,106135.0
1041,Emp_41,Hr,Female,Manager,Masters,25,22763.0,22810,No,45573.0
1042,Emp_42,It,Male,Engineer,Masters,47,40389.0,14884,No,55273.0
1043,Emp_43,Marketing,Female,Analyst,High School,32,51498.0,23177,Yes,74675.0
1044,Emp_44,Unknown,Female,Engineer,Phd,23,83755.0,7723,No,91478.0
1045,Emp_45,Marketing,Male,Analyst,Bachelors,35,55825.0,22042,Yes,77867.0
1046,Emp_46,Hr,Female,Consultant,Phd,51,36934.0,9761,Yes,46695.0
1047,Emp_47,Finance,Female,Executive,Bachelors,33,25574.0,12630,No,38204.0
1048,Emp_48,Sales,Female,Consultant,Phd,47,58179.0,21375,No,79554.0
1049,Emp_49,Hr,Female,Analyst,High School,54,21587.0,13741,,35328.0
1050,Emp_50,Sales,Female,Executive,Bachelors,34,62782.0,9350,Yes,72132.0
1051,Emp_51,Operations,Female,Manager,Bachelors,35,74412.0,5207,Yes,79619.0
1052,Emp_52,Finance,Female,Manager,Bachelors,45,80561.0,9190,No,89751.0
1053,Emp_53,Finance,Female,Engineer,Masters,55,97224.0,6883,,104107.0
1054,Emp_54,Hr,Male,Analyst,Masters,47,24409.0,7886,No,32295.0
1055,Emp_55,Finance,,Analyst,Phd,42,91319.0,21861,No,113180.0
1056,Emp_56,Marketing,Female,Manager,High School,49,119016.0,13953,No,132969.0
1057,Emp_57,Finance,Male,Consultant,Masters,57,46751.0,13381,No,60132.0
1058,Emp_58,Sales,Male,Executive,Bachelors,23,58174.0,28238,No,86412.0
1059,Emp_59,Sales,Female,Consultant,Masters,30,76572.0,18795,No,95367.0
1060,Emp_60,Sales,Male,Consultant,High School,44,81416.0,22139,No,103555.0
1061,Emp_61,Sales,Female,Manager,Masters,36,32041.0,14638,No,46679.0
1062,Emp_62,Marketing,Female,Manager,Bachelors,34,43227.0,9931,No,53158.0
1063,Emp_63,It,Female,Manager,Phd,44,55201.0,14855,No,70056.0
1064,Emp_64,Operations,Female,Engineer,Bachelors,38,56069.0,10724,No,66793.0
1065,Emp_65,Hr,Male,Consultant,High School,23,102190.0,17420,No,119610.0
1066,Emp_66,Sales,Female,Analyst,Phd,41,46370.0,25534,No,71904.0
1067,Emp_67,Finance,Female,Executive,Masters,41,115018.0,9060,No,124078.0
1068,Emp_68,Sales,Female,Engineer,Masters,24,31586.0,9765,No,41351.0
1069,Emp_69,Finance,Male,Analyst,Masters,33,70231.0,24996,No,95227.0
1070,Emp_70,Operations,Female,Consultant,Phd,23,25322.0,11553,No,36875.0
1071,Emp_71,Operations,Male,Manager,Bachelors,57,85294.0,12378,Yes,97672.0
1072,Emp_72,Operations,Male,Consultant,Phd,35,99468.0,23073,No,122541.0
1073,Emp_73,Finance,Female,Executive,Phd,37,49299.0,22700,,71999.0
1074,Emp_74,Sales,Female,Engineer,High School,40,110715.0,12130,Yes,122845.0
1075,Emp_75,Operations,Male,Engineer,Phd,55,90793.0,8186,No,98979.0
1076,Emp_76,Marketing,Female,Executive,Masters,27,66501.0,10789,No,77290.0
1077,Emp_77,Finance,Male,Analyst,Bachelors,34,77134.0,21122,No,98256.0
1078,Emp_78,Finance,Male,Analyst,Bachelors,57,29777.0,22529,No,52306.0
1079,Emp_79,Sales,Female,Engineer,Bachelors,43,31249.0,25778,No,57027.0
1080,Emp_80,Finance,Female,Engineer,Masters,39,41390.0,12942,Yes,54332.0
1081,Emp_81,Finance,Male,Manager,Masters,33,40369.0,12548,No,52917.0
1082,Emp_82,Operations,Male,Analyst,Masters,51,32881.0,21944,No,54825.0
1083,Emp_83,Sales,Male,Executive,Masters,28,29587.0,23296,Yes,52883.0
1084,Emp_84,Operations,Male,Analyst,Masters,53,113800.0,23248,No,137048.0
1085,Emp_85,Operations,Female,Manager,Phd,40,94327.0,5296,No,99623.0
1086,Emp_86,Sales,Female,Engineer,Masters,27,107911.0,7409,No,115320.0
1087,Emp_87,Hr,Female,Engineer,Masters,41,108147.0,29014,No,137161.0
1088,Emp_88,Operations,Female,Manager,Masters,48,27833.0,6461,No,34294.0
1089,Emp_89,Marketing,Female,Executive,Masters,58,67013.0,25676,No,92689.0
1090,Emp_90,Marketing,Male,Engineer,Bachelors,28,83620.0,7268,No,90888.0
1091,Emp_91,Finance,Female,Consultant,Masters,26,35754.0,22378,No,58132.0
1092,Emp_92,Marketing,Female,Engineer,Phd,32,98113.0,11554,No,109667.0
1093,Emp_93,Finance,Female,Consultant,Phd,36,116631.0,21391,No,138022.0
1094,Emp_94,Hr,Female,Manager,Phd,24,106784.0,23899,No,130683.0
1095,Emp_95,Sales,Female,Manager,High School,26,55282.0,22801,No,78083.0
1096,Emp_96,Sales,Male,Engineer,Bachelors,44,56737.0,23700,No,80437.0
1097,Emp_97,Sales,Male,Analyst,Masters,58,117427.0,12358,No,129785.0
1098,Emp_98,Marketing,Male,Consultant,High School,30,44124.0,25316,No,69440.0
1099,Emp_99,Hr,Female,Executive,Masters,36,90102.0,27588,No,117690.0
1100,Emp_100,Marketing,Male,Engineer,High School,24,22196.0,22671,No,44867.0
1101,Emp_101,Marketing,Male,Executive,High School,50,81527.0,22502,No,104029.0
1102,Emp_102,Hr,Female,Engineer,Phd,27,116651.0,12637,No,129288.0
1103,Emp_103,Hr,Female,Analyst,Phd,38,105395.0,5660,No,111055.0
1104,Emp_104,Hr,Female,Analyst,High School,47,31345.0,13907,Yes,45252.0
1106,Emp_106,Sales,Male,Analyst,High School,29,86400.0,16953,Yes,103353.0
1107,Emp_107,It,Female,Manager,Bachelors,42,32055.0,29488,Yes,61543.0
1108,Emp_108,It,Female,Manager,Phd,32,105283.0,27721,No,133004.0
1109,Emp_109,Hr,Male,Consultant,Phd,59,64484.0,23913,No,88397.0
1110,Emp_110,It,Male,Executive,Phd,29,97514.0,8970,Yes,106484.0
1111,Emp_111,It,Female,Engineer,Bachelors,45,110135.0,8407,Yes,118542.0
1112,Emp_112,Hr,Female,Engineer,High School,56,55771.0,14046,No,69817.0
1113,Emp_113,It,Male,Manager,Masters,35,77654.0,28800,No,106454.0
1114,Emp_114,Marketing,Female,Engineer,Phd,35,66540.0,19547,No,86087.0
1115,Emp_115,Finance,Male,Manager,High School,31,103151.0,9760,No,112911.0
1116,Emp_116,Finance,Male,Consultant,Bachelors,33,49377.0,23281,No,72658.0
1117,Emp_117,Hr,Male,Executive,Masters,59,115567.0,27748,No,143315.0
1118,Emp_118,Sales,Male,Consultant,Phd,55,69573.0,29848,No,99421.0
1119,Emp_119,Hr,Female,Analyst,Bachelors,31,62733.0,18465,Yes,81198.0
1120,Emp_120,Sales,Female,Analyst,Bachelors,38,31760.0,9087,No,40847.0
1121,Emp_121,Finance,Male,Analyst,Masters,38,119250.0,25758,No,145008.0
1122,Emp_122,Hr,Male,Consultant,High School,24,45762.0,12607,No,58369.0
1123,Emp_123,Operations,Male,Engineer,Phd,52,70986.0,9019,No,80005.0
1124,Emp_124,Marketing,Male,Executive,Phd,22,54332.0,5815,No,60147.0
1125,Emp_125,It,Male,Analyst,High School,33,60100.0,17563,Yes,77663.0
1126,Emp_126,Sales,Female,Analyst,High School,25,24944.0,18292,Yes,43236.0
1127,Emp_127,Operations,Female,Analyst,High School,34,68825.0,28639,Yes,97464.0
1128,Emp_128,It,Female,Executive,Masters,55,33877.0,21158,No,55035.0
1129,Emp_129,It,Female,Analyst,Masters,42,49990.0,5922,No,55912.0
1130,Emp_130,Hr,Male,Executive,Phd,43,119612.0,17929,No,137541.0
1131,Emp_131,It,Male,Analyst,Masters,25,75283.0,19925,Yes,95208.0
1132,Emp_132,Marketing,Male,Consultant,Bachelors,39,23258.0,26251,No,49509.0
1133,Emp_133,Operations,Male,Consultant,Phd,26,51629.0,22648,No,74277.0
1134,Emp_134,It,Male,Executive,Masters,40,57579.0,25108,No,82687.0
1135,Emp_135,Hr,Female,Consultant,High School,23,42958.0,15979,,58937.0
1136,Emp_136,Marketing,Male,Executive,Bachelors,33,59465.0,7722,Yes,67187.0
1137,Emp_137,Finance,Female,Consultant,High School,38,105853.0,10355,No,116208.0
1138,Emp_138,Operations,Female,Consultant,Phd,31,35775.0,18301,No,54076.0
1139,Emp_139,It,Female,Executive,High School,55,96575.0,7550,Yes,104125.0
1140,Emp_140,Hr,Female,Engineer,Masters,27,114633.0,26703,,141336.0
1141,Emp_141,Finance,Male,Consultant,Masters,29,54207.0,16141,No,70348.0
1142,Emp_142,Finance,Female,Analyst,Phd,32,42553.0,28070,No,70623.0
1143,Emp_143,Sales,Female,Engineer,High School,33,73632.0,23057,No,96689.0
1144,Emp_144,Marketing,Female,Executive,Phd,30,20055.0,25971,Yes,46026.0
1145,Emp_145,It,Male,Engineer,High School,23,108697.0,16284,No,124981.0
1146,Emp_146,Hr,Male,Manager,Bachelors,29,52873.0,26737,No,79610.0
1147,Emp_147,Sales,Male,Manager,Masters,32,100720.0,28241,Yes,128961.0
1148,Emp_148,Marketing,Female,Consultant,Phd,57,86205.0,23050,No,109255.0
1149,Emp_149,Sales,Female,Consultant,Bachelors,31,98199.0,25895,Yes,124094.0
1150,Emp_150,Operations,Male,Analyst,Bachelors,42,45318.0,27556,No,72874.0
1151,Emp_151,Marketing,Female,Engineer,Phd,41,53734.0,6384,Yes,60118.0
1152,Emp_152,Marketing,Male,Manager,Phd,29,102227.0,25787,Yes,128014.0
1153,Emp_153,It,Male,Consultant,Bachelors,57,38522.0,25338,No,63860.0
1154,Emp_154,Marketing,Female,Engineer,High School,50,31656.0,27689,Yes,59345.0
1155,Emp_155,Sales,Female,Consultant,Bachelors,33,35893.0,13252,No,49145.0
1156,Emp_156,Marketing,Female,Consultant,Phd,35,36493.0,12238,Yes,48731.0
1157,Emp_157,It,Female,Manager,Bachelors,42,23632.0,28365,No,51997.0
1158,Emp_158,It,Male,Manager,High School,43,115872.0,11026,Yes,126898.0
1159,Emp_159,Operations,Male,Consultant,Masters,42,108648.0,27993,Yes,136641.0
1160,Emp_160,Sales,Male,Executive,Masters,51,81779.0,15482,No,97261.0
1161,Emp_161,Finance,Male,Consultant,Bachelors,41,58452.0,18801,No,77253.0
1162,Emp_162,Finance,Male,Consultant,High School,45,33266.0,21120,No,54386.0
1163,Emp_163,Marketing,Female,Analyst,Masters,44,81607.0,20580,No,102187.0
1164,Emp_164,Operations,Male,Analyst,Bachelors,28,36940.0,13664,Yes,50604.0
1165,Emp_165,Hr,Male,Analyst,Bachelors,30,44003.0,22342,No,66345.0
1166,Emp_166,Marketing,Male,Executive,High School,22,118408.0,5493,Yes,123901.0
1167,Emp_167,Operations,Female,Executive,Phd,47,54815.0,28426,No,83241.0
1168,Emp_168,Sales,Female,Consultant,Bachelors,59,50869.0,21465,No,72334.0
1169,Emp_169,Sales,Female,Analyst,Phd,59,69297.0,11999,No,81296.0
1170,Emp_170,Sales,Female,Executive,Phd,43,80107.0,18833,No,98940.0
1171,Emp_171,Sales,Male,Manager,Masters,31,102793.0,7970,Yes,110763.0
1172,Emp_172,Sales,Male,Consultant,Phd,27,36682.0,5011,No,41693.0
1173,Emp_173,Operations,Female,Engineer,High School,38,39622.0,29208,No,68830.0
1174,Emp_174,Operations,Female,Consultant,Masters,59,50408.0,20551,No,70959.0
1175,Emp_175,It,Male,Engineer,Masters,45,28837.0,22145,Yes,50982.0
1176,Emp_176,Finance,Male,Analyst,Masters,31,84210.0,8185,No,92395.0
1177,Emp_177,Sales,Female,Engineer,Bachelors,29,35407.0,21409,No,56816.0
1178,Emp_178,Hr,Female,Analyst,Bachelors,42,49309.0,6806,No,56115.0
1179,Emp_179,Operations,Female,Manager,Phd,27,91918.0,28035,No,119953.0
1180,Emp_180,Hr,Female,Engineer,Masters,42,113190.0,10664,No,123854.0
1181,Emp_181,Hr,Male,Consultant,Masters,45,38895.0,19126,,58021.0
1182,Emp_182,Hr,Male,Analyst,High School,54,119087.0,17894,No,136981.0
1183,Emp_183,It,Male,Consultant,Phd,39,106912.0,10154,No,117066.0
1184,Emp_184,Operations,Female,Executive,High School,49,20370.0,27208,Yes,47578.0
1185,Emp_185,Hr,Female,Analyst,Phd,53,20486.0,18767,Yes,39253.0
1186,Emp_186,Sales,Male,Engineer,Phd,33,43762.0,25043,No,68805.0
1187,Emp_187,Marketing,Male,Analyst,Bachelors,48,46613.0,20226,No,66839.0
1188,Emp_188,Hr,Male,Consultant,Bachelors,31,23196.0,6525,No,29721.0
1189,Emp_189,It,Male,Manager,High School,53,114937.0,5760,Yes,120697.0
1190,Emp_190,Operations,Female,Analyst,Phd,47,96349.0,21978,,118327.0
1191,Emp_191,It,Male,Engineer,Masters,46,84839.0,28576,Yes,113415.0
1192,Emp_192,Hr,Male,Executive,Bachelors,32,61916.0,18880,No,80796.0
1193,Emp_193,Operations,Male,Manager,Masters,44,28572.0,6055,No,34627.0
1194,Emp_194,Marketing,Male,Executive,High School,55,48225.0,15046,Yes,63271.0
1195,Emp_195,Hr,Male,Analyst,Bachelors,44,65853.0,8083,Yes,73936.0
1196,Emp_196,It,Male,Consultant,Bachelors,50,69390.0,20678,No,90068.0
1197,Emp_197,Finance,Male,Consultant,Phd,52,52275.0,17108,,69383.0
1198,Emp_198,Sales,Female,Engineer,High School,28,92379.0,25059,No,117438.0
1199,Emp_199,It,Female,Consultant,Phd,54,21105.0,14650,No,35755.0
1200,Emp_200,Operations,Female,Manager,Bachelors,42,79896.0,10957,No,90853.0
1201,Emp_201,Hr,,Consultant,High School,23,63209.0,10255,Yes,73464.0
1202,Emp_202,Sales,Male,Engineer,Bachelors,39,117175.0,14411,No,131586.0
1203,Emp_203,Hr,Female,Analyst,High School,54,62487.0,25612,No,88099.0
1204,Emp_204,Operations,Female,Analyst,Bachelors,58,38051.0,21344,No,59395.0
1205,Emp_205,Hr,Male,Consultant,Masters,55,114244.0,25565,No,139809.0
1206,Emp_206,Finance,Male,Executive,Masters,41,97400.0,14691,Yes,112091.0
1207,Emp_207,Sales,Female,Analyst,Phd,56,86961.0,23214,No,110175.0
1208,Emp_208,Sales,Female,Consultant,Masters,39,80156.0,8395,No,88551.0
1209,Emp_209,It,Male,Engineer,Bachelors,45,77175.0,6203,No,83378.0
1210,Emp_210,Finance,Female,Consultant,Bachelors,29,26849.0,24194,No,51043.0
1211,Emp_211,It,Male,Analyst,Masters,51,38976.0,24476,No,63452.0
1212,Emp_212,Hr,Male,Engineer,Phd,31,119794.0,8044,No,127838.0
1213,Emp_213,Marketing,Male,Consultant,Masters,44,76866.0,27455,No,104321.0
1214,Emp_214,Unknown,Male,Manager,High School,32,67078.0,12272,No,79350.0
1215,Emp_215,Hr,Female,Engineer,High School,23,51113.0,26057,No,77170.0
1216,Emp_216,It,Male,Manager,High School,47,35401.0,8514,No,43915.0
1217,Emp_217,Hr,Male,Executive,Masters,57,32884.0,14990,No,47874.0
1219,Emp_219,Finance,Male,Manager,Masters,34,57563.0,15767,Yes,73330.0
1220,Emp_220,Sales,Female,Analyst,High School,46,54414.0,21528,No,75942.0
1221,Emp_221,Operations,Female,Analyst,Phd,25,36142.0,12507,No,48649.0
1222,Emp_222,Marketing,,Executive,Bachelors,40,91492.0,9857,No,101349.0
1223,Emp_223,Hr,Male,Engineer,Masters,39,99464.0,17118,No,116582.0
1224,Emp_224,Hr,Female,Engineer,Phd,58,95257.0,22761,Yes,118018.0
1225,Emp_225,It,Female,Engineer,Bachelors,51,96693.0,8146,No,104839.0
1226,Emp_226,Operations,Male,Executive,Bachelors,40,55135.0,26408,No,81543.0
1227,Emp_227,Finance,Female,Engineer,Bachelors,44,92232.0,22177,No,114409.0
1228,Emp_228,Marketing,Female,Analyst,Phd,37,47862.0,10756,Yes,58618.0
1229,Emp_229,Sales,Female,Manager,Phd,22,25190.0,9414,Yes,34604.0
1230,Emp_230,Finance,Female,Analyst,High School,33,90199.0,22494,No,112693.0
1231,Emp_231,Operations,Female,Analyst,Phd,45,24331.0,27056,Yes,51387.0
1232,Emp_232,Sales,Male,Manager,Phd,55,72186.0,25437,Yes,97623.0
1233,Emp_233,It,Female,Analyst,Phd,29,64648.0,8937,Yes,73585.0
1234,Emp_234,It,Female,Executive,Bachelors,39,48549.0,8963,No,57512.0
1236,Emp_236,Operations,Male,Analyst,High School,47,45761.0,10897,No,56658.0
1237,Emp_237,Marketing,Male,Consultant,Masters,51,23262.0,13974,No,37236.0
1238,Emp_238,Sales,Female,Analyst,Masters,34,71259.0,19377,No,90636.0
1239,Emp_239,Finance,Male,Executive,Phd,40,92572.0,22500,Yes,115072.0
1240,Emp_240,Operations,Female,Engineer,High School,50,73472.0,21056,No,94528.0
1241,Emp_241,Operations,Female,Analyst,Masters,24,107858.0,6750,No,114608.0
1242,Emp_242,It,Male,Engineer,Masters,47,104667.0,9027,No,113694.0
1244,Emp_244,Hr,Female,Analyst,Phd,23,93508.0,10745,Yes,104253.0
1245,Emp_245,Sales,Male,Manager,Masters,32,100865.0,26448,No,127313.0
1246,Emp_246,It,Female,Engineer,Bachelors,49,70617.0,14679,No,85296.0
1247,Emp_247,Operations,Male,Consultant,Masters,39,106029.0,10938,Yes,116967.0
1248,Emp_248,Marketing,Male,Manager,Bachelors,34,38595.0,17150,No,55745.0
1249,Emp_249,It,Male,Manager,Phd,58,107459.0,18406,No,125865.0
1250,Emp_250,Sales,Female,Manager,Masters,43,80148.0,24781,No,104929.0
1251,Emp_251,Unknown,Male,Manager,High School,33,66926.0,29649,,96575.0
1252,Emp_252,It,Female,Analyst,High School,23,95271.0,22743,Yes,118014.0
1253,Emp_253,Sales,Female,Analyst,Masters,58,54457.0,9853,Yes,64310.0
1254,Emp_254,It,Female,Analyst,Phd,28,62531.0,23325,Yes,85856.0
1255,Emp_255,Finance,Female,Consultant,Phd,47,93263.0,8148,No,101411.0
1256,Emp_256,It,Male,Consultant,High School,47,93300.0,21243,Yes,114543.0
1257,Emp_257,It,Female,Consultant,Masters,45,83171.0,12933,No,96104.0
1258,Emp_258,Sales,Female,Executive,Phd,33,65771.0,14436,Yes,80207.0
1260,Emp_260,Hr,Female,Analyst,Bachelors,44,86354.0,11474,No,97828.0
1261,Emp_261,Hr,Male,Analyst,Masters,30,57289.0,19679,No,76968.0
1262,Emp_262,Finance,Female,Executive,Bachelors,53,53892.0,16228,No,70120.0
1263,Emp_263,Hr,Male,Executive,Bachelors,36,91196.0,5770,,96966.0
1264,Emp_264,It,Female,Consultant,Phd,58,115057.0,6843,No,121900.0
1265,Emp_265,Sales,Male,Engineer,Phd,34,58409.0,5073,No,63482.0
1266,Emp_266,Hr,Female,Executive,Phd,26,54470.0,23044,No,77514.0
1267,Emp_267,Hr,Female,Manager,Masters,32,38385.0,21059,No,59444.0
1268,Emp_268,Finance,Male,Analyst,Bachelors,31,43296.0,25733,No,69029.0
1269,Emp_269,Operations,Male,Manager,Masters,34,81716.0,28486,No,110202.0
1270,Emp_270,Finance,Male,Analyst,Phd,36,109152.0,13000,No,122152.0
1271,Emp_271,It,Male,Analyst,Bachelors,28,46382.0,25202,No,71584.0
1272,Emp_272,Sales,Female,Executive,Masters,49,96675.0,18273,No,114948.0
1273,Emp_273,Finance,Female,Executive,Masters,53,117596.0,21121,No,138717.0
1274,Emp_274,Hr,Male,Manager,High School,56,42419.0,5331,Yes,47750.0
1275,Emp_275,Sales,Female,Analyst,Masters,36,113321.0,22805,No,136126.0
1276,Emp_276,Sales,Male,Manager,Phd,57,101238.0,12512,No,113750.0
1277,Emp_277,Hr,Male,Engineer,Masters,42,114753.0,28274,No,143027.0
1278,Emp_278,Finance,Female,Manager,Bachelors,27,59291.0,9931,Yes,69222.0
1279,Emp_279,Hr,Female,Consultant,Masters,22,32397.0,17742,No,50139.0
1280,Emp_280,Operations,,Manager,High School,25,77888.0,27409,No,105297.0
1281,Emp_281,Sales,Female,Consultant,Bachelors,32,55169.0,18426,Yes,73595.0
1282,Emp_282,Marketing,Female,Consultant,Bachelors,47,82182.0,25792,No,107974.0
1284,Emp_284,It,Female,Engineer,Phd,44,62249.0,13419,No,75668.0
1285,Emp_285,Hr,Male,Manager,Bachelors,50,48341.0,7881,Yes,56222.0
1286,Emp_286,Hr,Male,Manager,Phd,42,95603.0,18145,Yes,113748.0
1287,Emp_287,It,Male,Engineer,Bachelors,48,66144.0,18556,No,84700.0
1289,Emp_289,It,Male,Executive,Phd,44,99360.0,7575,No,106935.0
1290,Emp_290,Sales,Female,Manager,Bachelors,37,33444.0,17714,Yes,51158.0
1291,Emp_291,Operations,Male,Executive,Phd,51,65647.0,11185,Yes,76832.0
1292,Emp_292,Hr,Male,Engineer,High School,25,118843.0,13656,No,132499.0
1293,Emp_293,Sales,Male,Analyst,Phd,37,30974.0,10741,No,41715.0
1294,Emp_294,It,Male,Analyst,High School,52,58383.0,21661,No,80044.0
1295,Emp_295,Hr,Male,Analyst,Bachelors,46,114826.0,5065,No,119891.0
1296,Emp_296,Sales,Male,Engineer,Phd,33,101552.0,9262,Yes,110814.0
1297,Emp_297,Unknown,Male,Consultant,Bachelors,47,117648.0,10704,No,128352.0
1298,Emp_298,Sales,Female,Consultant,Phd,58,114049.0,20355,No,134404.0
1299,Emp_299,Operations,Female,Executive,High School,54,22956.0,13594,No,36550.0
1300,Emp_300,It,Male,Consultant,High School,49,28077.0,17175,No,45252.0
1301,Emp_301,Operations,Female,Consultant,Phd,30,56490.0,29373,No,85863.0
1302,Emp_302,Hr,Female,Analyst,High School,33,75612.0,17696,No,93308.0
1303,Emp_303,It,Female,Analyst,Bachelors,26,56159.0,11255,No,67414.0
1304,Emp_304,Hr,Female,Executive,Bachelors,49,59710.0,12441,No,72151.0
1305,Emp_305,Marketing,Male,Manager,Masters,56,103536.0,26076,No,129612.0
1306,Emp_306,Finance,Female,Executive,High School,26,33806.0,19986,No,53792.0
1307,Emp_307,Operations,Female,Executive,Bachelors,55,98345.0,18350,No,116695.0
1308,Emp_308,Finance,Female,Engineer,Phd,55,100391.0,19440,No,119831.0
1309,Emp_309,Finance,Male,Engineer,High School,34,114924.0,25803,No,140727.0
1310,Emp_310,Unknown,Male,Executive,Bachelors,35,26458.0,12960,No,39418.0
1311,Emp_311,It,Male,Executive,High School,32,55524.0,27462,No,82986.0
1312,Emp_312,Marketing,Male,Executive,Phd,59,26853.0,22821,Yes,49674.0
1313,Emp_313,Hr,Male,Consultant,Bachelors,25,60477.0,28416,No,88893.0
1314,Emp_314,Sales,Male,Engineer,Masters,54,52222.0,27115,No,79337.0
1315,Emp_315,Hr,Male,Executive,Masters,28,38320.0,24762,No,63082.0
1316,Emp_316,Sales,Female,Analyst,High School,29,114154.0,18665,No,132819.0
1317,Emp_317,Hr,Female,Analyst,Phd,58,72243.0,29968,No,102211.0
1318,Emp_318,Operations,Female,Consultant,Bachelors,31,65615.0,27731,Yes,93346.0
1319,Emp_319,Marketing,Male,Consultant,Phd,36,37352.0,27785,No,65137.0
1320,Emp_320,Sales,Male,Manager,Bachelors,59,92833.0,11629,,104462.0
1321,Emp_321,It,Male,Manager,High School,36,113476.0,18828,No,132304.0
1322,Emp_322,Hr,Male,Manager,Bachelors,26,23203.0,9541,No,32744.0
1323,Emp_323,Hr,Male,Consultant,Phd,50,59267.0,12876,Yes,72143.0
1324,Emp_324,Sales,Female,Consultant,Phd,40,57941.0,18311,No,76252.0
1325,Emp_325,It,Female,Consultant,High School,31,102809.0,29917,Yes,132726.0
1326,Emp_326,It,Male,Analyst,Phd,33,45368.0,29708,No,75076.0
1327,Emp_327,Operations,,Consultant,Bachelors,25,97186.0,19588,No,116774.0
1328,Emp_328,Operations,Male,Analyst,High School,52,50984.0,21648,No,72632.0
1329,Emp_329,Operations,Male,Manager,Bachelors,39,61941.0,17380,Yes,79321.0
1330,Emp_330,Operations,Female,Manager,Phd,37,92918.0,14877,Yes,107795.0
1331,Emp_331,Operations,Male,Manager,High School,57,72683.0,22818,No,95501.0
1332,Emp_332,Operations,Male,Executive,Bachelors,46,20801.0,26711,Yes,47512.0
1333,Emp_333,Marketing,Male,Executive,Phd,44,67965.0,10097,No,78062.0
1334,Emp_334,It,Male,Engineer,Phd,33,105269.0,23044,No,128313.0
1335,Emp_335,Hr,Female,Engineer,Masters,55,29969.0,27076,No,57045.0
1336,Emp_336,It,Male,Engineer,Phd,57,55969.0,23738,No,79707.0
1337,Emp_337,It,Male,Executive,Bachelors,58,102269.0,29841,No,132110.0
